Position,EnergyPC,FrequencyPC,Energy,Frequency
35.25,2,-7,17.207007698073134,301.46484375
36.0,3,-7,19.523513400331137,301.46484375
36.25,2,-7,18.22026757694921,301.46484375
37.0,1,-6,16.120418502928217,689.0625
37.75,0,-7,15.196513631822079,344.53125
38.0,1,-6,16.477483009039492,387.59765625
38.25,0,-5,15.212976837712445,430.6640625
38.5,1,-6,15.990600115435221,301.46484375
39.0,2,-6,20.72318852323609,301.46484375
39.25,1,-5,17.14695120353008,387.59765625
40.0,2,-6,19.22983884325802,301.46484375
40.25,3,-5,19.263800535719025,322.998046875
40.5,2,-5,12.058805077292112,322.998046875
41.0,3,-4,16.603887549690377,689.0625
41.75,2,-5,16.197400621611997,430.6640625
42.0,3,-6,17.280896944653826,301.46484375
42.25,2,-5,14.933392508433787,452.197265625
42.5,3,-6,15.764938677262428,301.46484375
43.0,4,-6,21.207673020889498,301.46484375
43.25,3,-6,18.20641467648639,301.46484375
44.0,4,-6,19.420492500833998,301.46484375
44.25,3,-6,18.44206330646932,301.46484375
45.0,2,-5,16.169569077182736,689.0625
45.5,3,-6,19.97366580207637,301.46484375
45.75,2,-5,16.376103160295752,387.59765625
46.0,1,-6,15.700288458038214,344.53125
46.25,0,-5,12.824118861002145,990.52734375
46.5,1,-6,15.834605428815017,301.46484375
47.0,2,-5,16.344827738245,689.0625
47.25,1,-6,15.486258448178775,344.53125
47.5,0,-7,13.360140052783978,301.46484375
48.0,1,-7,19.58909084559825,301.46484375
48.25,0,-6,18.03847592889166,322.998046875
48.5,-1,-5,14.71115459979557,990.52734375
49.0,0,-6,16.370375328621055,689.0625
49.75,-1,-7,15.836265680319242,430.6640625
50.0,0,-8,17.293114532596736,301.46484375
50.25,-1,-7,15.073464931256629,430.6640625
50.5,0,-8,16.020279488186333,301.46484375
51.0,1,-8,21.724954648411558,301.46484375
51.25,0,-8,18.75679634076488,301.46484375
51.5,-1,-7,11.683190103129888,344.53125
52.0,0,-8,19.357179709578958,301.46484375
52.25,-1,-8,17.92790066314562,301.46484375
53.0,-2,-7,16.23535156044455,689.0625
53.75,-3,-8,15.297203799836392,344.53125
54.0,-2,-7,17.018700177538282,387.59765625
54.25,-3,-6,15.388095609146369,581.396484375
54.5,-2,-7,15.928344812246856,301.46484375
55.0,-1,-7,21.291606844040956,301.46484375
55.25,-2,-7,16.687799262633355,301.46484375
55.5,-3,-7,15.93747877162835,301.46484375
56.0,-2,-7,19.344871968153438,301.46484375
56.25,-3,-6,18.158615325388883,322.998046875
56.5,-4,-6,14.564233845654176,322.998046875
57.0,-3,-5,16.30971542825219,689.0625
57.75,-4,-6,16.212414402939142,430.6640625
58.0,-3,-7,17.39151428314794,301.46484375
58.25,-4,-6,15.03897024848836,430.6640625
58.5,-3,-7,15.921202833038702,301.46484375
59.0,-2,-7,21.270504238325074,301.46484375
59.25,-3,-7,18.089994119425263,301.46484375
60.0,-2,-7,19.249418336255854,301.46484375
60.25,-3,-7,16.915232299600053,301.46484375
61.0,-4,-7,16.189668273532753,301.46484375
61.5,-3,-7,19.795297765282697,301.46484375
61.75,-4,-6,17.067118245296754,387.59765625
62.0,-5,-7,15.734417654922668,344.53125
62.25,-6,-6,12.831379976023472,990.52734375
62.5,-5,-7,15.515781577476655,322.998046875
63.0,-4,-6,16.741360640544926,689.0625
63.25,-5,-7,15.685951508615636,344.53125
63.5,-6,-8,13.18117649613161,301.46484375
64.0,-5,-8,15.564750821486559,301.46484375
64.25,-6,-7,13.99081828896588,667.529296875
64.5,-5,-8,15.051177807518767,516.796875
65.0,-6,-7,12.823255574854224,667.529296875
65.25,-5,-8,12.908500432209351,430.6640625
65.5,-6,-7,12.792001123658297,602.9296875
65.75,-7,-8,11.539066034479028,559.86328125
66.0,-6,-9,15.205983922342934,430.6640625
66.5,-5,-8,15.490543243039848,775.1953125
66.75,-6,-8,13.9199518894198,775.1953125
67.0,-5,-9,16.902448421784385,495.263671875
67.25,-4,-10,17.990239884983154,430.6640625
67.5,-5,-11,15.50185325443886,387.59765625
68.0,-6,-10,14.010153569428656,775.1953125
68.25,-5,-10,15.239062570163027,775.1953125
68.5,-6,-10,15.166853389722885,775.1953125
68.75,-5,-10,15.219565185526235,775.1953125
69.0,-6,-10,13.396913030589763,775.1953125
69.25,-7,-10,13.261842284542787,775.1953125
69.5,-6,-11,15.227210274111162,689.0625
69.75,-7,-11,15.08452085237755,689.0625
70.0,-8,-11,14.24786274373165,689.0625
70.25,-9,-11,14.00854998971905,689.0625
70.5,-10,-11,13.519413131944367,689.0625
70.75,-11,-11,13.35326156145813,689.0625
71.0,-10,-12,16.098540487428988,645.99609375
71.25,-9,-11,16.675704532522214,667.529296875
71.5,-10,-11,16.31080964061766,667.529296875
71.75,-9,-11,16.601905817355586,667.529296875
72.0,-10,-12,15.742945149273213,301.46484375
72.25,-11,-11,12.103588710648854,516.796875
72.5,-10,-11,15.999857376809034,516.796875
73.0,-9,-10,17.701370573191888,689.0625
73.25,-10,-11,13.043288021583546,667.529296875
73.5,-11,-12,11.500567675413523,387.59765625
73.75,-10,-11,13.334018043781127,990.52734375
74.0,-9,-12,14.694829741086142,430.6640625
74.25,-10,-11,11.489927342773608,495.263671875
74.5,-9,-12,16.52199612193863,301.46484375
74.75,-8,-11,18.44834821571129,516.796875
75.0,-7,-12,18.923117068271406,495.263671875
75.25,-8,-13,18.777284009167122,430.6640625
75.5,-9,-14,13.452560986277218,387.59765625
76.0,-8,-15,15.266616920383187,344.53125
76.25,-9,-14,12.459937524640017,516.796875
76.75,-8,-14,16.626243987469277,516.796875
77.0,-7,-15,18.254248183380042,495.263671875
77.25,-8,-16,16.5208943268576,452.197265625
77.5,-9,-16,15.45827247704487,452.197265625
77.75,-8,-17,16.321178220329692,430.6640625
78.0,-9,-17,14.853652724254333,430.6640625
78.25,-10,-16,12.638298851441299,990.52734375
78.5,-9,-17,15.786471521208972,322.998046875
79.0,-10,-16,15.383229691109811,689.0625
79.25,-11,-17,15.172019965310321,344.53125
79.75,-12,-18,10.800203316438646,322.998046875
80.0,-11,-17,16.459110960616023,1076.66015625
80.25,-12,-18,14.504647468422231,667.529296875
80.5,-11,-19,19.040185822704377,344.53125
80.75,-12,-18,14.934037959036008,667.529296875
81.0,-11,-18,18.875605655314466,667.529296875
81.25,-12,-17,18.369298268841792,710.595703125
