Song, Low, Mid, High, Total, RMS
NuFunk _ Daze - Something On Your Mind (152kbit_Opus).mp3,2.391,2.323,2.339,7.053000000000001,-16.53
NuFunk _ Engarde - Rocket Battle Cars (152kbit_Opus).mp3,4.851,4.152,4.258,13.261,-13.09
NuFUNK _ Goldbass - Primadonna (Skogsrå Remix) (152kbit_Opus).mp3,4.846,3.642,3.753,12.241,-13.29
NuFUNK _ Stereocool - Welcome to Coral City (152kbit_Opus).mp3,2.985,1.507,1.392,5.884,-16.27
NuFUNK _ The Noisy Freaks - Funk You Up (ft. Temu) (152kbit_Opus).mp3,2.839,2.446,2.343,7.628,-16.27
NuFUNK _ Viciousi - Trans A.M. (152kbit_Opus).mp3,2.792,1.69,1.765,6.246999999999999,-14.01
NuJAZZ _ April Fools' Music - One Hell Of The Groove (152kbit_Opus).mp3,3.11,3.515,3.867,10.492,-12.57
NuJAZZ _ Slynk - Traveling (128kbit_AAC).mp3,3.353,2.231,2.226,7.81,-15.42
P R I D E - One More Time (Decelebrate) (152kbit_Opus).mp3,7.24,5.702,4.954,17.896,-12.43
PHNTM feat. jACQ - You & I (128kbit_AAC).mp3,3.417,3.12,3.315,9.852,-13.79
Prog. Electro _ Vicetone - California (Radio Edit) (128kbit_AAC).mp3,4.015,4.904,5.046,13.965,-12.7
Prog. House _ Archie - Kingdom (feat. Brenton Mattheus) (128kbit_AAC).mp3,1.043,1.983,1.911,4.936999999999999,-15.54
Prog. House _ Beatwalker - Glass Lights (152kbit_Opus).mp3,1.825,1.424,1.44,4.689,-14.79
Prog. House _ Chromeboy - Sunny Vibes (152kbit_Opus).mp3,2.377,1.224,1.079,4.68,-14.63
Prog. House _ Deviz Bang - Chorded (152kbit_Opus).mp3,3.786,3.909,4.126,11.821000000000002,-13.24
Prog. House _ E.K.O Ft. Maya Maman - Something About You (Hellberg & Deutgen Remix) (128kbit_AAC).mp3,2.817,2.557,2.617,7.9910000000000005,-13.45
Prog. House _ Phonehome - In My Head ft. Emily Daye (Radio Mix) (128kbit_AAC).mp3,1.876,3.865,3.737,9.478,-13.02
Prog. House _ Vlad Rusu - Carpe Diem (128kbit_AAC).mp3,1.537,2.993,3.216,7.7459999999999996,-14.11
Prog.HOUSE _ Square Two - Pharaoh (128kbit_AAC).mp3,2.074,2.527,2.753,7.354,-13.59
Progressive Electronic _ Gabe Flaherty - The Two Of Us (128kbit_AAC).mp3,2.926,3.691,3.509,10.126,-13.07
Progressive House _ audalanche - Memories [Funky Way Release] (152kbit_Opus).mp3,4.715,2.761,3.03,10.506,-11.09
Progressive House _ Diana Boss - Thicc Honey feat. Giorgi Holiday (152kbit_Opus).mp3,3.942,2.272,2.579,8.793000000000001,-13.66
Progressive House _ Luurk - Open Your Eyes (feat. BURRECI) (128kbit_AAC).mp3,3.683,3.792,3.85,11.325,-13.85
Progressive House _ MYKOOL - Last Chance (128kbit_AAC).mp3,3.57,3.804,4.135,11.509,-14.57
ProgressiveHOUSE _ audalanche - Venus [FunkyWay Release] (128kbit_AAC).mp3,4.416,3.379,3.456,11.251,-13.97
ProgressiveHOUSE _ Boney & Joel Edwards - No Tomorrow [Funky Way Release] (128kbit_AAC).mp3,2.331,2.798,2.818,7.946999999999999,-13.94
R&B & Soul _ Hunter - You Are My Earth (128kbit_AAC).mp3,1.64,0.924,0.826,3.39,-18.63
R&B _ Capyac - Ceasefire feat. Cool Company (152kbit_Opus).mp3,2.409,1.618,1.438,5.465,-16.17
R&B _ Gramatik - Native Son Feat. Raekwon & Orlando Napier (The Noisy Freaks Remix) (152kbit_Opus).mp3,2.35,2.208,2.373,6.931,-15.81
R&B _ Leo Napier - Smile (ROMANCE Remix) (128kbit_AAC).mp3,1.992,1.631,1.567,5.19,-16.31
R&B _ Pasha - Tie-Dye (152kbit_Opus).mp3,3.915,1.981,1.848,7.744,-16.14
R&B _ Pastel - No Rush feat. elizatwinkies (152kbit_Opus).mp3,2.26,1.536,1.53,5.326,-16.57
R&B _ Slynk - Blame ft. Q'Aila (152kbit_Opus).mp3,1.378,0.816,0.661,2.855,-16.09
R&B _ SMLE - When My Love Ends (Feat. Jackie's Boy) (152kbit_Opus).mp3,2.037,2.033,2.192,6.2620000000000005,-15.23
R&B _ Tigercloth - Leave Me Alone (128kbit_AAC).mp3,1.837,0.98,1.117,3.934,-15.69
Reset! - Stealin` Your Soul (Fire Flowerz Remix) (128kbit_AAC).mp3,4.08,3.871,4.008,11.959,-12.51
Retrowave _ Popcorn Kid - Straight Outta Miami (152kbit_Opus).mp3,3.173,2.3,2.268,7.741,-14.55
Rhodz - Lack of Sense[ Funky Panda Release ] (152kbit_Opus).mp3,3.936,4.46,4.409,12.805,-12.41
Rise & Fool - Toy Boy (Official Video) (152kbit_Opus).mp3,3.979,3.232,3.221,10.432,-14.86
Robby Hunter Band - Bull Ride (Dooqu Remix) (152kbit_Opus).mp3,2.893,3.024,2.981,8.898,-12.82
Robotaki - Raton Laveur (152kbit_Opus).mp3,2.48,2.56,2.653,7.693,-13.04
Savant - Snake Eyes (192kbit_Opus).mp3,2.762,2.828,3.194,8.783999999999999,-13.18
Scu - Changes (152kbit_Opus).mp3,3.608,2.008,2.162,7.778,-12.9
Shook - Milestones (152kbit_Opus).mp3,2.498,1.077,1.105,4.68,-18.52
Silva Hound - Cool Friends _ World Premiere (152kbit_Opus).mp3,3.32,2.817,2.809,8.946000000000002,-14.72
Silva Hound - Cool Friends_ The Remixes Minimix _ World Premiere (128kbit_AAC).mp3,0.848,0.734,0.656,2.238,-17.61
Sir Sly - You Haunt Me (Idle Earth Remix) (152kbit_Opus).mp3,5.476,3.88,3.774,13.129999999999999,-13.96
Skogsrå - Now you See Me (Official Music Video) (152kbit_Opus).mp3,3.323,2.964,3.097,9.384,-13.97
Soul Funk _ LBCK - Call My Name (152kbit_Opus).mp3,7.435,5.534,5.545,18.514,-12.04
Soul-Funk _ Foxe Basin - Chop Chop (LBCK Remix) _ World Premiere (152kbit_Opus).mp3,2.296,1.669,1.542,5.507,-15.78
SoulFUNK _ GRiZ - Summer '97 ft. Muzzy Bearr (152kbit_Opus).mp3,2.482,2.038,2.089,6.609,-16.19
Stereocool - Simple ft. Ace (Sample Jack Remix) (152kbit_Opus).mp3,4.623,3.305,3.403,11.331000000000001,-14.73
StereoCool - The Lonely Astronaut (Ft. Ace) (128kbit_AAC).mp3,3.212,2.583,2.5,8.295,-14.71
Subosco - Deux (Stylish Rodent Remix) (128kbit_AAC).mp3,2.932,2.766,3.715,9.413,-14.29
Synth POP _ PhYsX - Are We Real_ [Funky Way Release] (152kbit_Opus).mp3,3.223,2.531,2.306,8.059999999999999,-12.01
Synth POP _ Zhao - Car (128kbit_AAC).mp3,1.961,0.985,1.033,3.979,-17.78
Synth Wave _ Dilemmachine - Too Funk For The Synth [Funky Way Release] (152kbit_Opus).mp3,3.568,2.336,2.517,8.421,-14.12
Synth Wave _ PARADIGMmm -  Came To Life (128kbit_AAC).mp3,2.251,1.425,0.916,4.5920000000000005,-16.36
SynthPOP _ Fla.mingo - U Melt Me (128kbit_AAC).mp3,1.98,2.863,3.028,7.871,-14.05
SynthPOP _ PWNDTIAC ft. Krue - The Beach (Roisto Remix) (128kbit_AAC).mp3,3.163,2.627,2.758,8.547999999999998,-15.25
SynthRock _ Like Vipers - Accelerator (128kbit_AAC).mp3,3.041,1.784,1.864,6.689,-16.65
SynthRock _ Ultra Sheriff - Deception, Oil and Laser Beams (128kbit_AAC).mp3,0.842,1.228,1.489,3.559,-17.59
SynthRock _ Ultra Sheriff - Determination (128kbit_AAC).mp3,2.769,1.897,2.079,6.745000000000001,-16.4
Synthwave _ Absolute Valentine - The Impossible (128kbit_AAC).mp3,4.663,4.364,4.108,13.135000000000002,-13.05
